nodes' data
i      configuration       h_ii      ci
6  34    -0.05007635163768832   19.96950591039829
6  35    0   1000.0
6  36    0   1000.0
6  37    0   1000.0
6  38    0   1000.0
6  39    -0.01183204066976   84.51627474166584
6  40    0.01425393226411372   70.15607914158824
6  41    0.04320423351584967   23.145879897004665
6  42    0   1000.0
6  43    0   1000.0
6  44    0   1000.0
6  45    -0.0017888897147690444   559.0059531026515
6  46    -0.014090586718961275   70.96936557328236
6  47    -0.008272050014586427   120.88901762400629
6  48    0   1000.0
6  49    -0.02092975006651217   47.77887919454953
6  50    0.05663473763917884   17.657007725029505
6  51    -0.0472717096142602   21.154301550759556
6  52    0   1000.0
6  53    0   1000.0
6  54    0   1000.0
6  55    0   1000.0
6  56    0   1000.0
6  57    0   1000.0
6  58    0   1000.0
6  59    -0.02946891412662948   33.93406338974511
6  60    -0.03728081882152805   26.823445182017934
6  61    0   1000.0
6  62    0   1000.0
6  63    0.03995068509070458   25.03085986459522
6  64    0   1000.0
6  65    0   1000.0
6  66    0   1000.0
6  67    0.03413322456785443   29.296968354456844
6  68    0   1000.0
6  69    -0.02106699187045009   47.46762167799874
6  70    0   1000.0
6  71    0   1000.0
6  72    0   1000.0
6  73    0   1000.0
6  74    -0.01031667150813966   96.93048762975721
6  75    0   1000.0
6  76    -0.03413322456785443   29.296968354456844
6  77    0   1000.0
6  78    0   1000.0
6  79    -0.00338033111822554   295.82900758104927
6  80    0   1000.0
6  81    -0.04580470956262714   21.8318161942002
6  82    0   1000.0
6  83    0   1000.0
6  84    0   1000.0
6  85    -0.02989729399725887   33.447843142315314
6  86    -0.02194786025881222   45.56252811016021
6  87    0.006587730299058199   151.7973497098026
6  88    0   1000.0
6  89    0.04161084896761151   24.032194122700222
6  90    0   1000.0
6  91    0   1000.0
6  92    0   1000.0
6  93    0   1000.0
